30 | 84
0 | 91
11 | 173
12 | 196
3 | 130
20 | 43
4 | 168
11 | 85
22 | 193
11 | 22
14 | 173
18 | 77
29 | 151
9 | 21
26 | 124
9 | 75
3 | 102
12 | 99
15 | 92
10 | 106
20 | 168
18 | 126
6 | 139
29 | 47
10 | 80
30 | 171
8 | 213
1 | 169
18 | 102
20 | 96
27 | 52
18 | 174
9 | 126
0 | 175
19 | 220
21 | 158
3 | 117
16 | 20
22 | 170
25 | 10
4 | 111
0 | 50
11 | 178
28 | 200
11 | 111
2 | 99
10 | 208
1 | 138
14 | 74
16 | 194
22 | 67
15 | 60
26 | 152
20 | 160
19 | 149
16 | 36
20 | 159
20 | 195
22 | 154
30 | 26
16 | 32
14 | 210
7 | 1
6 | 114
25 | 100
30 | 31
29 | 84
20 | 197
19 | 14
18 | 119
10 | 131
18 | 186
2 | 8
21 | 83
22 | 47
4 | 118
1 | 119
1 | 39
22 | 45
8 | 126
2 | 165
30 | 41
15 | 62
22 | 101
2 | 161
9 | 0
16 | 54
6 | 1
16 | 88
11 | 88
13 | 204
22 | 205
16 | 84
29 | 122
5 | 71
26 | 166
14 | 140
24 | 1
13 | 173
19 | 60
29 | 28
21 | 216
0 | 203
2 | 21
0 | 59
20 | 26
6 | 34
18 | 48
5 | 165
29 | 28
2 | 130
23 | 115
10 | 193
3 | 85
10 | 25
25 | 44
4 | 195
1 | 177
24 | 62
1 | 75
14 | 12
1 | 0
4 | 34
27 | 70
17 | 138
12 | 178
25 | 189
20 | 130
2 | 63
3 | 169
20 | 90
1 | 136
22 | 133
21 | 188
8 | 53
27 | 44
29 | 206
15 | 182
9 | 196
3 | 73
21 | 65
7 | 75
0 | 125
23 | 182
27 | 71
18 | 203
11 | 32
11 | 200
15 | 21
10 | 198
